System:,Log-Version,0.1,Lib-Version,4.4
PC:,Host-Name,W7-DESKTOP-1,Time,2014-04-23T13:44:43.5726266Z




SignalName: time [ms],D0 P,D0 V,D0 A,D1 P,D1 V,D1 A
Uri: ,,,,,,
Unit: ms,rad,rad/s,rad/s^2,rad,rad/s,rad/s^2
13.7,-0.0557902522,-22.3030986786,129.9041137695,1.1018850598,-23.6999988556,-3000
13.8,-0.0580198298,-22.2876091003,179.9042205811,1.0995000475,-24,-3000
13.9,-0.0602476023,-22.2671165466,229.9040679932,1.0970850522,-24.2999992371,-3000
14,-0.0624730863,-22.2416267395,279.9041137695,1.0946400571,-24.5999984741,-3000
14.1,-0.0646957647,-22.2111358643,329.9042053223,1.092165044,-24.8999996185,-3000
14.2,-0.0669151405,-22.1756439209,379.9040527344,1.0896600597,-25.1999988556,-3000
14.3,-0.0691307255,-22.1351547241,429.9041137695,1.0871250541,-25.4999980927,-3000
14.4,-0.0713420072,-22.0896663666,479.9040527344,1.0845600511,-25.7999992371,-3000
14.5,-0.0735484971,-22.0391750336,529.9041137695,1.0819650567,-26.0999984741,-3000
14.6,-0.0757496811,-21.9836845398,579.9041748047,1.0793400616,-26.3999977112,-3000
14.7,-0.0779450625,-21.9231948853,629.9040527344,1.0766850589,-26.6999988556,-3000
14.8,-0.0801341533,-21.8577041626,679.9041137695,1.0740000531,-26.9999980927,-3000
14.9,-0.0823164407,-21.7872123718,729.9042358398,1.0712850504,-27.2999992371,-3000
15,-0.0844914226,-21.7117233276,779.9040527344,1.0685400558,-27.5999984741,-3000
15.1,-0.086658617,-21.6312332153,829.9041137695,1.0657650614,-27.8999977112,-3000
15.2,-0.0888175048,-21.5457420349,879.9041748047,1.0629600585,-28.1999988556,-3000
15.3,-0.09096759,-21.4552516937,929.9040527344,1.060125052,-28.4999980927,-3000
15.4,-0.0931083794,-21.3597602844,979.9039306641,1.0572600835,-28.7991733551,-2983.4943847656
15.5,-0.0952393871,-21.2592697144,1029.9040527344,1.0543653322,-29.0950241089,-2933.4946289063
15.6,-0.0973600864,-21.1537780762,1079.9041748047,1.0514412457,-29.3858718872,-2883.4943847656
15.7,-0.0994699699,-21.0432891846,1129.904296875,1.048488325,-29.6717224121,-2833.4946289063
15.8,-0.1015685671,-20.9277992249,1179.9041748047,1.0455070683,-29.9525699615,-2783.4943847656
15.9,-0.103655356,-20.807308197,1229.9041748047,1.0424979776,-30.2284202576,-2733.4946289063
16,-0.1057298491,-20.6818199158,1279.9039306641,1.0394615508,-30.4992694855,-2683.4943847656
16.1,-0.1077915677,-20.5513286591,1329.9040527344,1.0363982897,-30.76512146,-2633.4946289063
16.2,-0.1098399642,-20.4158363342,1379.904296875,1.0333086932,-31.0259666443,-2583.4943847656
16.3,-0.1118745609,-20.2753486633,1429.904296875,1.0301932637,-31.2818164825,-2533.4946289063
16.4,-0.1138948621,-20.1298561096,1479.904296875,1.0270524984,-31.5326690674,-2483.4946289063
16.5,-0.1159003612,-19.9793663025,1529.9038085938,1.0238868948,-31.7785148621,-2433.4946289063
16.6,-0.1178905691,-19.8238773346,1579.9040527344,1.0206969604,-32.019367218,-2383.4946289063
16.7,-0.1198649816,-19.6633853912,1629.904296875,1.0174831897,-32.2552146912,-2333.4943847656
16.8,-0.1218230807,-19.4978961945,1679.9041748047,1.0142460833,-32.4860649109,-2283.4946289063
16.9,-0.1237643809,-19.3274040222,1729.904296875,1.0109861419,-32.7119140625,-2233.4943847656
17,-0.1256883859,-19.1519145966,1779.9041748047,1.0077038687,-32.932762146,-2183.4946289063
17.1,-0.1275945994,-18.9714241028,1829.9038085938,1.0043997583,-33.1486129761,-2133.4943847656
17.2,-0.1294825181,-18.7859325409,1879.9040527344,1.0010743118,-33.359462738,-2083.4946289063
17.3,-0.1313516343,-18.5954437256,1929.9041748047,0.9977280342,-33.5653114319,-2033.4943847656
17.4,-0.1332014292,-18.3999519348,1979.904296875,0.9943614188,-33.7661590576,-1983.4945068359
17.5,-0.1350314418,-18.1994628906,2029.904296875,0.9909749671,-33.9620094299,-1933.4946289063
17.6,-0.1368411551,-17.993970871,2079.904296875,0.9875691766,-34.1528587341,-1883.4945068359
17.7,-0.1386300692,-17.7834815979,2129.904296875,0.9841445573,-34.3387069702,-1833.4946289063
17.8,-0.1403976843,-17.5679893494,2179.904296875,0.9807016079,-34.5195579529,-1783.4945068359
17.9,-0.1421435002,-17.3474998474,2229.904296875,0.9772408118,-34.6954078674,-1733.4945068359
18,-0.1438670178,-17.1220092773,2279.904296875,0.9737626906,-34.8662567139,-1683.4945068359
18.1,-0.145567736,-16.8915195465,2329.904296875,0.9702677294,-35.0321083069,-1633.4946289063
18.2,-0.1472451554,-16.6560287476,2379.904296875,0.9667564363,-35.1929550171,-1583.4945068359
18.3,-0.1488987749,-16.4155387878,2429.904296875,0.9632293019,-35.3488082886,-1533.4945068359
18.4,-0.1505280949,-16.17004776,2479.904296875,0.95968684,-35.4996566772,-1483.4946289063
18.5,-0.1521326169,-15.9195575714,2529.904296875,0.9561295428,-35.6455039978,-1433.4946289063
18.6,-0.1537118413,-15.6640663147,2579.904296875,0.9525579028,-35.7863540649,-1383.4945068359
18.7,-0.1552652643,-15.4035758972,2629.904296875,0.9489724354,-35.9222068787,-1333.4945068359
18.8,-0.156792389,-15.138086319,2679.904296875,0.9453736374,-36.0530548096,-1283.4946289063
18.9,-0.1582927154,-14.8675956726,2729.904296875,0.9417619871,-36.1789016724,-1233.4946289063
19,-0.159765742,-14.5921058655,2779.904296875,0.9381380165,-36.2997550964,-1183.4945068359
19.1,-0.1612109682,-14.3116149902,2829.904296875,0.9345022007,-36.4156036377,-1133.4946289063
